t,E,Ux,U0,Ug,Pg,Uk,Pk,TQ,Rs,RX_h1,Tsvp,Tgaz,T_combined,original_t,global_time,file_index,file_name
1226.191,0.1,0.0168666,0.0223724,0.13551,13.175,0.13839,13.83,1.874520318391286e-07,89.97821914501796,89.97821914501797,2.0426120520209965,1.7401058003530612,2.0426120520209965,1226.191,14791.178,2,1542.dat
1227.91,0.1,0.0168535,0.0223805,0.13566,13.19,0.13874,13.866,1.8751989945538334e-07,89.87579477670292,89.87579477670293,2.0441373010382136,1.742109605090758,2.0441373010382136,1227.91,14792.897,2,1542.dat
1229.631,0.1,0.0168475,0.0223797,0.1358,13.204,0.1391,13.901,1.8751319648093841e-07,89.84700979012231,89.8470097901223,2.045618795301812,1.7439798698772295,2.045618795301812,1229.631,14794.618,2,1542.dat
1231.349,0.1,0.0168283,0.022372,0.13594,13.218,0.13944,13.936,1.8744868035190617e-07,89.77550531914893,89.77550531914895,2.047098926373994,1.745850180074913,2.047098926373994,1231.349,14796.336000000001,2,1542.dat
1233.069,0.1,0.0168302,0.022353,0.13611,13.235,0.13979,13.971,1.8728948470883956e-07,89.86195902116047,89.86195902116047,2.048577698198617,1.7481213320819025,2.048577698198617,1233.069,14798.056,2,1542.dat
1234.788,0.1,0.0168078,0.0224028,0.13625,13.249,0.14016,14.008,1.8770674486803518e-07,89.54286651668541,89.54286651668542,2.050139497643491,1.7499917428388705,2.050139497643491,1234.788,14799.775000000001,2,1542.dat
1236.636,0.0,-0.022087,-0.0294287,0.1364,13.264,0.14054,14.045,-2.4657478005865104e-07,89.57525986536952,89.57525986536952,2.0516997870540243,1.7519958047626802,2.0516997870540243,1236.636,14801.623,2,1542.dat
1238.418,0.0262,-0.0129618,-0.0172748,0.13656,13.28,0.14091,14.082,-1.4474067867616256e-07,89.55188077430708,89.55188077430708,2.0532585710148696,1.7541335282828485,2.0532585710148696,1238.418,14803.405,2,1542.dat
1240.143,0.0262,-0.0130015,-0.0173498,0.1367,13.294,0.14125,14.117,-1.4536908253037285e-07,89.4378623961083,89.4378623961083,2.0547317149188644,1.7560040850274028,2.0547317149188644,1240.143,14805.130000000001,2,1542.dat
1241.925,0.0525,-0.00429528,-0.00573298,0.13679,13.303,0.14163,14.155,-4.803502304147466e-08,89.4197551709582,89.4197551709582,2.056329612146464,1.7572066097771704,2.056329612146464,1241.925,14806.912,2,1542.dat
1243.648,0.0525,-0.00431826,-0.005769,0.13693,13.317,0.14198,14.189,-4.833682446585672e-08,89.33685751430056,89.33685751430058,2.057757975578066,1.7590772411442015,2.057757975578066,1243.648,14808.635,2,1542.dat
1252.275,0.5,0.186854,0.250184,0.13752,13.375,0.14375,14.366,2.096221198156682e-06,89.13849366865985,89.13849366865986,2.065173651147967,1.7668274835938897,2.065173651147967,1252.275,14817.262,2,1542.dat
1253.993,0.5,0.186822,0.250246,0.13763,13.387,0.14412,14.403,2.096740678676163e-06,89.10114727108524,89.10114727108524,2.0667195630474278,1.7684310793809137,2.0667195630474278,1253.993,14818.98,2,1542.dat
1255.839,0.0,-0.0220289,-0.0294875,0.13774,13.398,0.14446,14.437,-2.470674486803519e-07,89.1614824925816,89.16148249258161,2.0681388413264488,1.7699010715083847,2.0681388413264488,1255.839,14820.826000000001,2,1542.dat
1257.556,0.0,-0.0220352,-0.0295182,0.13784,13.408,0.14482,14.473,-2.4732467532467534e-07,89.09422390254147,89.09422390254149,2.0696402643720564,1.7712374523275998,2.0696402643720564,1257.556,14822.543000000001,2,1542.dat
1259.338,0.0262,-0.0129579,-0.0173315,0.13797,13.421,0.14518,14.509,-1.4521575198994556e-07,89.23205521737876,89.23205521737874,2.071140310771262,1.7729747820486923,2.071140310771262,1259.338,14824.325,2,1542.dat
1261.059,0.0262,-0.0129658,-0.0173758,0.13807,13.431,0.14553,14.544,-1.4558692919983244e-07,89.05881916228316,89.05881916228317,2.072597373146142,1.7743112161857664,2.072597373146142,1261.059,14826.046,2,1542.dat
1262.84,0.0525,-0.00430658,-0.00573835,0.13818,13.442,0.1459,14.581,-4.808001675743611e-08,89.57110022915994,89.57110022915995,2.074136289395277,1.7757813205125588,2.074136289395277,1262.84,14827.827000000001,2,1542.dat
1264.563,0.0525,-0.00432412,-0.0057912,0.13831,13.455,0.14627,14.618,-4.852283200670297e-08,89.1151612791822,89.11516127918222,2.075673763897031,1.7775187527011997,2.075673763897031,1264.563,14829.550000000001,2,1542.dat
1266.344,0.0788,0.00817693,0.0109827,0.13838,13.462,0.14662,14.653,9.202094679514035e-08,88.85944216813716,88.85944216813716,2.0771268085268506,1.7784543093392684,2.0771268085268506,1266.344,14831.331,2,1542.dat
1268.067,0.0788,0.00813713,0.0109117,0.13849,13.473,0.14696,14.687,9.142605781315459e-08,89.00230628591328,89.00230628591328,2.078537109248231,1.7799244927232964,2.078537109248231,1268.067,14833.054,2,1542.dat
1269.848,0.105,0.0167503,0.0224659,0.13857,13.481,0.14733,14.724,1.8823544197737748e-07,88.98589885114774,88.98589885114772,2.080070476618302,1.7809937346233005,2.080070476618302,1269.848,14834.835000000001,2,1542.dat
